,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Bottom 50%,1.521938381984202,1.543908500898371,1.5492413636566431,1.5470256772545883,1.5162525835194436,1.5960118476624887,1.6706162875216113,1.6909852181623095,1.6765877962650866,1.704887564757072,1.6746347742639494,1.6564225808251902,1.6637187601226306,1.7384602869184602,1.789777254182158,1.8378326964980316,1.932006273729864,2.0206072592583766,2.1273325366180007,2.231042922325104,2.3453335835980336,2.4673862881703466,2.574440180739714,2.5785192150367884,2.671598431195485,2.6864316264346524,2.7436944284432503,2.8175057824701244,2.813533811003666,2.9107173461957276
Middle 40%,9.227319688736559,9.522098525627246,8.691046511467334,8.877290800304458,8.752001555783448,8.946397831756622,9.161752033290364,9.178510738695204,8.9843601306922,9.192595375058673,9.362736456107337,9.585870650847744,9.831759218291467,10.366259508751675,10.676476311630303,11.164464854957927,11.622296970504223,12.191532194292634,12.547307178859327,12.767871607103002,13.653619895323189,14.264200517839654,14.66792187059811,14.699299962848832,14.867758913910263,14.932861362449215,14.92945713204499,15.193994018262044,15.563754681270707,15.837352522935063
Next 9%,8.690971453594978,8.728380142803871,8.846777777654458,8.853978138954714,9.03788255310423,9.22244845653036,9.46331426189941,9.522210232223085,9.564005898241142,9.687528621731987,10.068196576634788,10.090594650827073,10.300905583845426,10.786763299164402,11.195396376996966,11.463909766472188,11.69732653667807,11.905500777073705,11.953322146739612,11.404784634082125,11.941132444549483,12.253818236846044,12.185612018955375,12.391913742637318,12.303889073384724,12.266096202023526,12.276690735011464,12.387309807068041,12.583895069155371,12.506784701670504
Next 0.9%,2.5531327758996505,2.5188215634892765,2.542315129560331,2.589619702285175,2.6996685333670265,2.701314490353929,2.8387821816634644,2.8655262164809088,2.913974605505905,3.0361126256968163,3.283191441232697,3.2699072910053646,3.2695410021510134,3.4905771635941516,3.619448440162487,3.7368981787528237,3.8815561460800536,3.918234920223484,3.991410355477592,3.7417699331927996,3.929045537812385,3.999964001170061,4.048159181081437,4.099635935366893,4.149241934567777,4.107473670022892,4.016407346276786,4.090317319873844,4.230402992476694,4.198078801431137
Top 0.1%,0.7806811410730101,0.9485146315128922,0.9670764059292154,0.9615887777168624,0.9804103784648124,1.0096137365494984,1.0425007549671421,1.0630380917022224,1.091954542927664,1.1292644644469514,1.0833880884200269,1.0839344101784263,1.2342402962501662,1.289661082382285,1.3764384985648845,1.433050326976999,1.4821965933300885,1.493844754635001,1.4898162410909461,1.4415339613311322,1.5194976738487966,1.5267422916548974,1.5556119626834235,1.575538155102308,1.6109398230387517,1.5915824704821726,1.5837981507839123,1.6338836285082308,1.661722452802367,1.65661435893337
