,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Bottom 50%,1.521938381984202,3.065846882882573,4.615088246539216,6.162113923793804,7.678366507313248,9.274378354975736,10.944994642497347,12.635979860659656,14.312567656924744,16.017455221681814,17.692089995945764,19.348512576770954,21.012231336893585,22.750691623812045,24.540468877994204,26.378301574492237,28.310307848222102,30.33091510748048,32.45824764409848,34.68929056642358,37.034624150021614,39.50201043819196,42.07645061893167,44.654969833968465,47.32656826516395,50.012999891598604,52.75669432004185,55.57420010251197,58.38773391351564,61.29845125971136
Middle 40%,9.227319688736559,18.749418214363807,27.44046472583114,36.3177555261356,45.06975708191905,54.01615491367567,63.17790694696603,72.35641768566124,81.34077781635344,90.53337319141211,99.89610964751945,109.48198029836719,119.31373951665866,129.67999902541032,140.35647533704062,151.52094019199853,163.14323716250277,175.3347693567954,187.88207653565473,200.64994814275772,214.30356803808093,228.56776855592057,243.2356904265187,257.9349903893675,272.8027493032778,287.735610665727,302.665067797772,317.85906181603406,333.4228164973048,349.26016902023986
Next 9%,8.690971453594978,17.419351596398847,26.266129374053307,35.12010751300802,44.157990066112255,53.38043852264261,62.84375278454202,72.36596301676511,81.92996891500624,91.61749753673823,101.68569411337302,111.77628876420009,122.07719434804551,132.8639576472099,144.05935402420687,155.52326379067907,167.22059032735714,179.12609110443086,191.07941325117048,202.4841978852526,214.42533032980208,226.6791485666481,238.86476058560348,251.2566743282408,263.56056340162553,275.82665960364903,288.1033503386605,300.49066014572855,313.0745552148839,325.5813399165544
Next 0.9%,2.5531327758996505,5.0719543393889275,7.614269468949258,10.203889171234433,12.90355770460146,15.604872194955387,18.443654376618852,21.30918059309976,24.223155198605667,27.259267824302484,30.54245926553518,33.812366556540546,37.08190755869156,40.572484722285715,44.1919331624482,47.928831341201025,51.810387487281076,55.72862240750456,59.72003276298215,63.46180269617495,67.39084823398733,71.39081223515738,75.43897141623881,79.5386073516057,83.68784928617349,87.79532295619639,91.81173030247317,95.90204762234701,100.13245061482371,104.33052941625485
Top 0.1%,0.7806811410730101,1.7291957725859022,2.696272178515118,3.65786095623198,4.6382713346967925,5.647885071246291,6.690385826213433,7.753423917915655,8.84537846084332,9.97464292529027,11.058031013710297,12.141965423888722,13.376205720138888,14.665866802521172,16.042305301086056,17.475355628063056,18.957552221393144,20.451396976028146,21.941213217119092,23.382747178450224,24.90224485229902,26.42898714395392,27.98459910663734,29.560137261739648,31.1710770847784,32.76265955526057,34.34645770604448,35.98034133455271,37.64206378735508,39.298678146288445
