,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
Bottom 50%,2.9345006778044276,2.9743396715560024,3.0270009932684903,3.067591693092966,3.1109785763526876,3.173517060497757,3.236621047245676,3.2947046256461925,3.3603064234818656,3.436406172815926,3.508778912578176,3.588296056559816,3.6713312683355506,3.7603535170374487,3.8505357538414264,3.948926287978065,4.027907228797239,4.101826404972391,4.193126565110272,4.284370508232517,4.376569196459288,4.421125681511987,4.452498708263496,4.498401439189328,4.5410845038036385,4.58007320680375,4.609075087175004,4.636835344268517,4.660964879600666,4.687507513863342,4.71381813257537,4.688977470180626,4.661876090212683,4.6375980647413115,4.613053288678764,4.590104274576175,4.551730661261855,4.522710058258907,4.483394052776812,4.458613002469976,4.427156885199875,4.344971802408503,4.258589439813865,4.16759286621527,4.083924423362031,4.004151824860145,3.9165786721744165,3.839984673415904,3.7455559519398163,3.6742771037870305,3.594909030598386,3.4284654358707525,3.2827683428074397,3.1289710857749284,3.0013081170007716,2.8652818888220217,2.741090966971993,2.628978075067145,2.5246112234767795,2.419519843458964,2.31313440211452,2.161358667722109,2.028585869040248,1.9012954316378647,1.7891867605678249,1.6779206412233223,1.58000029723626,1.4793581317151894,1.3991472332458597,1.3240398705515026,1.2482395500450314,1.1366717014116525,1.0413007942663557,0.9548625046149385,0.8777874763842319,0.8089672111615647,0.7429624499915674,0.6832024534292532,0.6300960712012951,0.5798386330631159,0.5368193890905263
Middle 40%,15.843356170032669,15.940276055199043,16.050232034073048,16.059321822606123,16.197737278513777,16.21058208178152,16.29138711882561,16.38116456701981,16.423213073375646,16.532326350745542,16.60805331987192,16.77813481880672,16.976840264355296,17.136043000298766,17.294904654942947,17.471790463477806,17.56716262202696,17.663626021572135,17.75454879918034,17.860677051472173,17.969568090338985,17.871874616107753,17.78599402699253,17.70992493666523,17.652423544492105,17.603005749006908,17.44840243094658,17.302819370967306,17.161772583600886,17.04465807003212,16.916546730876963,16.584508300599705,16.24803354489333,15.889351321737697,15.593680890620558,15.276687348755422,14.964044748821788,14.63483963219967,14.362453666325298,14.047910684290155,13.76295619495362,13.25280652383988,12.77007256307064,12.313642093559027,11.874488288651863,11.43350574106828,11.034500363466089,10.63804250190098,10.256966090886074,9.878398082278162,9.550795562977523,8.90786108728912,8.310925708510078,7.802054774270845,7.310744841468595,6.8746901422322155,6.462502840774877,6.0564372039877705,5.700541226896102,5.399239235571333,5.114412767650776,4.683306824119968,4.298224308476137,3.9590888435333933,3.637698709058777,3.376519569062247,3.109746117630513,2.888440313312006,2.684072373464825,2.500458148568276,2.3188397292930527,2.114226335287319,1.9169979718312737,1.7437298096042928,1.5915565947418677,1.4529826658406881,1.3321613310334175,1.2216590239457994,1.1202443198260335,1.0329565748646647,0.9479069130259602
Next 9%,12.650833198390455,12.691731406049957,12.78444789552846,12.996760883959722,13.080867221249717,13.256672918049919,13.33157457728317,13.418684426460489,13.535604640546708,13.624894564187615,13.739090422790616,13.844282809377054,13.926975496751647,14.047121596961707,14.181906053014949,14.331399908575401,14.391059219979615,14.4684427035412,14.54017082209254,14.611888168238854,14.686924870568332,14.608623050423835,14.566171012702567,14.476751998029812,14.38640909371307,14.301545988034395,14.181160054375768,14.077361901210502,13.96410843111631,13.833309245618656,13.721044758957975,13.442102460440545,13.165116594775206,12.92322867143807,12.668382111961783,12.409928727076254,12.134984231593391,11.90559460926492,11.628644879126194,11.425332278492974,11.217419372633604,10.826791189776587,10.491230380873219,10.155838093625608,9.78902503161163,9.470609229868991,9.111325781104682,8.772717895919165,8.479310839634586,8.201345176638783,7.89846105290677,7.403902293351878,6.937395850225721,6.500819594998545,6.11723404356111,5.778857631872776,5.457359511062578,5.173575080065577,4.889645616813405,4.599397349369397,4.352475033507133,4.0273132708668316,3.7329140713088758,3.474232804310871,3.245577052477255,3.015122059905856,2.829375324343085,2.6630655308509303,2.4934275716077283,2.3325274157823315,2.209642365523575,2.024866835489374,1.8629213250458552,1.7179881507116757,1.5821970352166066,1.4638889235626915,1.3489631946352416,1.2507933290409625,1.1622871242394388,1.0778237662891486,1.0080958935946704
Next 0.9%,4.176769082783467,4.255384032885032,4.28588198247542,4.324162798216599,4.372360628874707,4.451046713757882,4.4821007742353025,4.512602935218249,4.5723580346812325,4.613873103850274,4.668084679167632,4.699529789453011,4.739338952833161,4.7944030040947245,4.844767626473944,4.879648328672264,4.9146957849765815,4.944685481763405,4.987315159366767,5.021533636317154,5.059513130871601,5.037791384229181,4.991607913935959,4.97637889229521,4.959484310514325,4.941973584169793,4.925528394796926,4.87529650630418,4.845193352613151,4.817700879417194,4.795436388077543,4.678193573584254,4.5944309511412005,4.513993921396955,4.406898849761175,4.35712056301977,4.281601329695377,4.185742126961035,4.113477529189752,4.031374319535855,3.931463133306397,3.7946653654818188,3.629213738559553,3.488165432326616,3.395981864096651,3.298986038950959,3.219464862250668,3.124259757071966,3.0302642935072748,2.9283248423893027,2.8479855682744386,2.6952281119565464,2.5641214518867956,2.4341159249571476,2.3100905605775846,2.180867310569693,2.060366574021079,1.9547750965798432,1.8652103348703553,1.7881017475959755,1.7089381582183076,1.5922833200554072,1.4792124224109626,1.3735148460039641,1.286343587535155,1.207140981971416,1.1325994706095799,1.0483789110747812,0.9813529410044355,0.926778900618119,0.8685630823139383,0.7946962136961102,0.7330588205067939,0.6711025157336424,0.6157083347474239,0.5628797519253295,0.5172966735792669,0.4724142673755073,0.4313595180522415,0.3892410302474958,0.3505787084919533
Top 0.1%,1.6570224542267544,1.6901743761770718,1.7068416695179403,1.7226473873173207,1.7387353492993762,1.7537318095175398,1.7694806314128797,1.7882794802553783,1.8075675281163364,1.8152285099767442,1.843231677181384,1.858065854896727,1.8686376924979844,1.87426911933305,1.8839245248306733,1.883455787732302,1.88060720634205,1.8823633598940046,1.8790235297910327,1.8831314246411182,1.8910808884412014,1.8843967472129464,1.877670689745279,1.8726199278989082,1.8648496420995513,1.8579075239769736,1.8286096235350768,1.8205713285513736,1.812697753204105,1.8050704869115457,1.7964876942658896,1.7706670621598877,1.7406674385559087,1.7154754412901476,1.6903159027173762,1.653674851205055,1.6195255054069573,1.5903030942486802,1.5607694571805624,1.516647376891547,1.4929746116379916,1.4491254828851896,1.4081062583861712,1.370655151074649,1.3384967311354945,1.3056763971047667,1.247846999677914,1.21519031019806,1.1800862976419833,1.1512752575128984,1.1204066665694359,1.058443002488867,1.005619142370765,0.9549948682409126,0.9038677339742304,0.8581701807726544,0.8143780756562513,0.7771436060016017,0.7363347876518074,0.69933648095563,0.6639634326760244,0.6117086118092718,0.5704331910783506,0.5307867419539156,0.49374612401036533,0.46328429303364266,0.4326506001730938,0.4078357646798988,0.38352244426617116,0.3582072798936727,0.33832468138392424,0.3101895180839339,0.28375904272539526,0.261362580344093,0.24050194091778987,0.22021831284474344,0.20283606998349274,0.18582112495956574,0.17029903311551398,0.16230924356767248,0.15127307839092094
