,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
Bottom 50%,2.9345006778044276,5.90884034936043,8.93584134262892,12.003433035721887,15.114411612074575,18.28792867257233,21.52454971981801,24.819254345464202,28.179560768946068,31.615966941761993,35.12474585434017,38.71304191089999,42.38437317923554,46.14472669627299,49.99526245011442,53.944188738092485,57.972095966889725,62.07392237186212,66.26704893697239,70.5514194452049,74.92798864166419,79.34911432317617,83.80161303143966,88.30001447062898,92.84109897443261,97.42117218123636,102.03024726841136,106.66708261267988,111.32804749228055,116.01555500614388,120.72937313871925,125.41835060889989,130.08022669911256,134.71782476385386,139.33087805253263,143.9209823271088,148.47271298837063,152.99542304662953,157.47881709940634,161.93743010187632,166.3645869870762,170.7095587894847,174.96814822929858,179.13574109551385,183.21966551887587,187.22381734373602,191.14039601591043,194.98038068932632,198.72593664126614,202.40021374505318,205.99512277565157,209.42358821152231,212.70635655432974,215.83532764010468,218.83663575710546,221.70191764592747,224.44300861289946,227.07198668796661,229.59659791144338,232.01611775490235,234.32925215701687,236.49061082473898,238.51919669377924,240.4204921254171,242.2096788859849,243.88759952720824,245.4675998244445,246.9469579561597,248.34610518940556,249.67014505995706,250.9183846100021,252.05505631141375,253.0963571056801,254.05121961029505,254.9290070866793,255.73797429784085,256.4809367478324,257.16413920126166,257.79423527246297,258.3740739055261,258.9108932946166
Middle 40%,15.843356170032669,31.783632225231713,47.83386425930476,63.89318608191088,80.09092336042465,96.30150544220618,112.59289256103179,128.97405712805158,145.39727020142723,161.92959655217277,178.53764987204468,195.3157846908514,212.2926249552067,229.42866795550546,246.7235726104484,264.1953630739262,281.7625256959532,299.42615171752533,317.18070051670566,335.04137756817784,353.01094565851685,370.8828202746246,388.6688143016171,406.3787392382823,424.0311627827744,441.6341685317813,459.0825709627279,476.3853903336952,493.54716291729613,510.5918209873283,527.5083677182052,544.092876018805,560.3409095636983,576.230260885436,591.8239417760566,607.100629124812,622.0646738736339,636.6995135058336,651.0619671721589,665.1098778564491,678.8728340514027,692.1256405752426,704.8957131383132,717.2093552318722,729.083843520524,740.5173492615924,751.5518496250585,762.1898921269594,772.4468582178455,782.3252563001237,791.8760518631012,800.7839129503903,809.0948386589005,816.8968934331713,824.2076382746399,831.0823284168721,837.5448312576469,843.6012684616347,849.3018096885309,854.7010489241022,859.815461691753,864.4987685158729,868.7969928243491,872.7560816678825,876.3937803769413,879.7702999460035,882.880046063634,885.768486376946,888.4525587504108,890.9530168989792,893.2718566282722,895.3860829635595,897.3030809353908,899.046810744995,900.6383673397369,902.0913500055775,903.4235113366109,904.6451703605567,905.7654146803827,906.7983712552474,907.7462781682733
Next 9%,12.650833198390455,25.342564604440412,38.12701249996887,51.123773383928594,64.20464060517831,77.46131352322823,90.79288810051139,104.21157252697188,117.74717716751859,131.3720717317062,145.1111621544968,158.95544496387387,172.88242046062553,186.92954205758724,201.1114481106022,215.4428480191776,229.8339072391572,244.3023499426984,258.84252076479095,273.4544089330298,288.1413338035981,302.74995685402195,317.3161278667245,331.79287986475435,346.1792889584674,360.4808349465018,374.66199500087754,388.73935690208805,402.70346533320435,416.536774578823,430.257819337781,443.6999217982215,456.8650383929967,469.7882670644348,482.4566491763966,494.86657790347283,507.0015621350662,518.9071567443311,530.5358016234574,541.9611339019503,553.1785532745839,564.0053444643605,574.4965748452337,584.6524129388592,594.4414379704708,603.9120472003398,613.0233729814445,621.7960908773637,630.2754017169982,638.476746893637,646.3752079465438,653.7791102398957,660.7165060901214,667.2173256851199,673.334559728681,679.1134173605539,684.5707768716164,689.744351951682,694.6339975684954,699.2333949178648,703.5858699513719,707.6131832222387,711.3460972935476,714.8203300978585,718.0659071503358,721.0810292102416,723.9104045345847,726.5734700654357,729.0668976370434,731.3994250528258,733.6090674183494,735.6339342538387,737.4968555788845,739.2148437295962,740.7970407648128,742.2609296883754,743.6098928830106,744.8606862120516,746.0229733362911,747.1007971025803,748.108892996175
Next 0.9%,4.176769082783467,8.432153115668498,12.718035098143918,17.042197896360516,21.414558525235222,25.865605238993105,30.347706013228407,34.86030894844666,39.43266698312789,44.04654008697816,48.714624766145796,53.414154555598806,58.153493508431964,62.94789651252669,67.79266413900064,72.6723124676729,77.58700825264948,82.53169373441288,87.51900889377966,92.54054253009681,97.60005566096842,102.6378470451976,107.62945495913357,112.60583385142878,117.56531816194311,122.5072917461129,127.43282014090983,132.308116647214,137.15330999982717,141.97101087924437,146.76644726732192,151.44464084090617,156.03907179204737,160.5530657134443,164.9599645632055,169.31708512622527,173.59868645592064,177.78442858288167,181.89790611207144,185.92928043160728,189.8607435649137,193.6554089303955,197.28462266895505,200.77278810128166,204.16876996537832,207.4677560043293,210.68722086657996,213.81148062365193,216.84174491715922,219.77006975954853,222.61805532782296,225.3132834397795,227.8774048916663,230.31152081662344,232.62161137720102,234.8024786877707,236.8628452617918,238.81762035837164,240.682830693242,242.470932440838,244.1798705990563,245.7721539191117,247.25136634152267,248.62488118752663,249.91122477506178,251.1183657570332,252.25096522764278,253.29934413871757,254.28069707972202,255.20747598034015,256.0760390626541,256.8707352763502,257.60379409685703,258.2748966125907,258.8906049473381,259.4534846992634,259.9707813728427,260.44319564021816,260.8745551582704,261.2637961885179,261.6143748970099
Top 0.1%,1.6570224542267544,3.347196830403826,5.0540384999217665,6.776685887239087,8.515421236538463,10.269153046056003,12.038633677468882,13.82691315772426,15.634480685840597,17.44970919581734,19.292940872998724,21.15100672789545,23.019644420393433,24.893913539726483,26.777838064557155,28.661293852289457,30.541901058631506,32.42426441852551,34.303287948316544,36.186419372957666,38.07750026139887,39.961897008611814,41.839567698357094,43.712187626256004,45.577037268355554,47.43494479233253,49.26355441586761,51.084125744418984,52.89682349762309,54.701893984534635,56.49838167880053,58.269048740960415,60.009716179516325,61.72519162080647,63.41550752352384,65.0691823747289,66.68870788013585,68.27901097438453,69.83978043156509,71.35642780845663,72.84940242009462,74.29852790297981,75.70663416136598,77.07728931244063,78.41578604357612,79.72146244068088,80.9693094403588,82.18449975055685,83.36458604819883,84.51586130571172,85.63626797228116,86.69471097477003,87.7003301171408,88.65532498538171,89.55919271935593,90.4173629001286,91.23174097578485,92.00888458178645,92.74521936943826,93.4445558503939,94.10851928306992,94.7202278948792,95.29066108595755,95.82144782791147,96.31519395192184,96.77847824495548,97.21112884512857,97.61896460980847,98.00248705407465,98.36069433396833,98.69901901535225,99.00920853343618,99.29296757616157,99.55433015650567,99.79483209742347,100.01505041026822,100.2178864802517,100.40370760521127,100.57400663832678,100.73631588189446,100.88758896028537
