,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
Bottom 50%,2.9270098778719054,5.85663435616256,8.820503605406536,11.794457738281526,14.77808001150974,17.793151083712143,20.8181993972982,23.843547901723756,26.872331269749033,29.913549469118752,32.96182249480157,36.02320917389323,39.0991472324467,42.18621882327175,45.281714617490664,48.39342502234239,51.513747537476206,54.64130112164674,57.77613894002848,60.92016393627819,64.07750089816896,67.20699768735642,70.3201482481859,73.41761139666136,76.49520358415295,79.55329392032594,82.57823043013931,85.57342134608777,88.55180286837239,91.5020157326581,94.42532789217215,97.29774601052877,100.12177847003814,102.89536006132349,105.61716035858787,108.28903851427935,110.9166434436511,113.49994961711822,116.0395607858316,118.537032573368,120.9940333266994,123.38025890005359,125.69961846770383,127.94765728825841,130.13703470060443,132.24700562652473,134.29369375355682,136.28472902449664,138.21890714087104,140.10381825413708,141.934446921476,143.67495581186083,145.32650139444175,146.8950049451176,148.38253082840487,149.7937427310459,151.13419262423355,152.41158452420055,153.62913159199573,154.78838015283168,155.89489347125587,156.92167644422707,157.87484729118543,158.76144075400995,159.58706232871324,160.35632089242802,161.06841643359087,161.72874255894044,162.3470563777122,162.92402825840452,163.46105402719695,163.9429675716289,164.3778705551791,164.7693544631842,165.1228197159766,165.4407222396583,165.72525619139844,165.98284077539773,166.2158399499313,166.4266486685875,166.61690771235226
Middle 40%,15.833939405925305,31.714511080760374,47.63084460102168,63.50523287059884,79.46386440154396,95.46680950050892,111.37643640856761,127.26895708616969,143.1627414953507,158.99827645837138,174.83756385340806,190.73512986338116,206.70788562279887,222.73540885375584,238.8316347501139,254.9950171033904,271.1730437241563,287.3761323863182,303.59139887939244,319.8333102020509,336.09109557090443,352.22933028123055,368.2617327622413,384.1671735336794,399.9668077286861,415.65989385259184,431.2134828724687,446.6247404859317,461.87930472369436,477.0054973848016,492.0066449944063,506.67351786981766,521.0223637153322,535.0714605990713,548.8332544871184,562.3146653066576,575.5146185279576,588.4331519446426,601.0722344609417,613.4519489833865,625.5708926996825,637.2480674577897,648.5062464211214,659.360397899186,669.8204852627136,679.9210057157488,689.6608489255202,699.0444781966613,708.0929201963776,716.814839513108,725.2370493046561,733.0934391261521,740.4379290633362,747.3138815251418,753.7679203991474,759.8421133095306,765.5522396363419,770.9262119792234,776.0004921666492,780.7928901670698,785.3219671836569,789.4740981099892,793.3012133259424,796.8280924473511,800.0845512362266,803.101433886022,805.9054330775949,808.52056049665,810.9464208042258,813.2112214900059,815.3265443850611,817.2499724472276,818.9997746280583,820.5957081505492,822.0553139625465,823.3890365916852,824.609097340373,825.7229245442018,826.7477690293017,827.6847799414185,828.5462048449027
Next 9%,12.67122197546454,25.389659175868555,38.19332366113143,51.15769230122311,64.2115380693078,77.36584502668705,90.63721559302807,103.95441647387264,117.3235870458346,130.80448462503728,144.37202313086365,158.01396621854687,171.72906852365907,185.53584860803616,199.43308692339605,213.41983318350867,227.4462332100997,241.51261214806868,255.63209063395604,269.7900906014577,284.00579149347163,298.1624723154197,312.230803952098,326.2525304074878,340.2044438101632,354.0822455495947,367.8648976657412,381.55325424293574,395.15436146683817,408.6504236406853,422.0394822111655,435.18205171050164,448.0833250158131,460.7321929752359,473.13601362178485,485.3117882786641,497.25759926181473,508.98524664809855,520.5087173578028,531.8207785817762,542.9162191280108,553.6366455211279,563.9943144180983,574.0114912346805,583.7075091850418,593.0982194170329,602.1813648717425,610.9851932161038,619.5121671540338,627.7688741760413,635.7628727865376,643.2515619417081,650.2869455020074,656.8948053390433,663.1046138748832,668.9450531101123,674.453329503757,679.653248361067,684.5651589861255,689.209416008129,693.604692155963,697.6374938220292,701.3467519158186,704.7731674624393,707.9453210550679,710.8901880802432,713.6247797007,716.1684107104211,718.5464739206521,720.7639633156878,722.825543998331,724.7057400682511,726.4093364075129,727.9651168513066,729.383972746402,730.6755733216725,731.8655663624628,732.9651350300126,733.977374642528,734.9207491221571,735.7943843104706
Next 0.9%,4.159203485069362,8.409031803744448,12.698684447208148,17.069333005820464,21.472539278202596,25.919715354679532,30.40359053790941,34.936756567011734,39.50543481345169,44.121619038519015,48.759419033413316,53.434655015639336,58.14604290946568,62.89496219081822,67.67678002586044,72.48596686442886,77.3222789501422,82.17709320757548,87.05522201997695,91.96546718578111,96.89344277815195,101.7936021805995,106.69436388148273,111.56102785962537,116.412840521442,121.2506793600561,126.05327247114683,130.8209846873108,135.5571491745771,140.27155322795102,144.96822407086051,149.58301615635025,154.11062071497713,158.5633038098969,162.9370310721598,167.22819240131633,171.4381652705738,175.57344085353412,179.63745947241907,183.62839156253517,187.56599372718918,191.3785845271375,195.07279219205634,198.65595206668678,202.12313248226963,205.48401042712675,208.74136711101346,211.89164943241892,214.94393250140294,217.90678847989534,220.78348004814615,223.48752781131523,226.02542905775562,228.4220946985782,230.68750799890535,232.82736915876933,234.855407304018,236.77652931462464,238.59204205237944,240.31676878691607,241.96128820091812,243.4874432717872,244.89573271085527,246.20404492469956,247.42353471405676,248.55940749663185,249.62141010048754,250.61330050706545,251.54540102251607,252.4257688047412,253.27110739775048,254.05093838077858,254.78550350167626,255.46853091243324,256.1062283849644,256.7111220206502,257.2733910208261,257.79819403504126,258.2865428723725,258.7386400376538,259.1614450640124
Top 0.1%,1.6767949878063824,3.3683502394867784,5.077245318982533,6.799557549263299,8.540362639970622,10.306935399118235,12.082839823384983,13.874020587295773,15.680605402802037,17.495518861962708,19.327461927491914,21.173875879009756,23.024359843113356,24.888400252871964,26.766297185379297,28.66409256309128,30.56479819106954,32.4729972258124,34.3889954661497,36.30769518079485,38.23653537406952,40.159458953255864,42.05753851585792,43.94952162961733,45.827666843035054,47.70098533691519,49.56255421971232,51.417453166236484,53.263494361037715,55.09838505997666,56.92202146147815,58.72134448734221,60.49722975742349,62.25126062402515,63.98740584514334,65.70137489249134,67.39200190105666,69.05823154406542,70.69682040863036,72.31147242762468,73.90319517146105,75.45492265063082,76.96557909843433,78.4374232459149,79.87379395593383,81.27386682355653,82.63610015075372,83.96014030882785,85.24933656688867,86.50534774719833,87.72707567980791,88.88512774384817,89.98082397814244,91.01791817255553,92.002029684014,92.93690414950565,93.82163253647002,94.66217242813848,95.46104387977529,96.22179214698339,96.94393869455908,97.61322496216862,98.23698324624871,98.81589929286103,99.35425976766987,99.85395870339147,100.32199116350246,100.75986096885268,101.1702160669284,101.5534571653991,101.91290067540903,102.2430173059649,102.54629201113201,102.82460288494292,103.08024973733309,103.31572975770523,103.53325367801858,103.73252373237851,103.91644488855992,104.08655388706154,104.24408216578658
