,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
Bottom 50%,7.87521537246318,7.9206091638539045,7.9964300779901105,8.03655422882148,8.080321315802824,8.16957672840203,8.275440319073764,8.363163242442488,8.464450531834162,8.58613663860596,8.69214491375847,8.801679823399375,8.914649838920122,9.03666328436907,9.155726218657454,9.28826480460533,9.415082746524941,9.525630482357087,9.671791955373292,9.812673907549723,9.950444271569635,10.088409775999335,10.194863272049764,10.33305798382961,10.462303551566645,10.581322566791634,10.720580432025109,10.855823491733917,10.981255177964082,11.11093239592015,11.238539515615651,11.390842339063989,11.536406121218768,11.687598973808273,11.836739463954789,11.988514226889354,12.121177092065585,12.276898914100508,12.402628983188524,12.566596325344676,12.710038680178954,12.90520760546685,13.080325766282849,13.232178500074959,13.397859826010691,13.567449687571045,13.728067180877987,13.91793227318137,14.03240748604546,14.222850061248907,14.372416638253865,14.593002634497218,14.853597214015037,15.027989341455136,15.279084854288111,15.439715485594126,15.631490527987376,15.84589527481795,16.063604573931535,16.23229330425003,16.343862482094927,16.52924068283471,16.7522000905377,16.917067272188387,17.117223818399662,17.227133334773413,17.39251023938029,17.430710759709697,17.61812325083311,17.791424402095014,17.873845414507063,17.814354240063,17.836485517907096,17.851081911936646,17.88573642100627,17.94141801677772,17.927680005607836,17.91353232033308,17.92956120503203,17.88428020576225,17.92580401760141
Middle 40%,42.51825293664698,42.44864761230189,42.39990620465521,42.07261709440253,42.0713028351343,41.73085936030904,41.65405830611441,41.58137646358263,41.3692851526671,41.30734431931504,41.14240588777417,41.154845748861064,41.2228086398264,41.18034379442291,41.12347530872014,41.095377477519875,41.062586676662946,41.020062247411445,40.95232986192466,40.90705958725676,40.85510312775364,40.78119636963479,40.72449856664886,40.680602594865434,40.66980330108484,40.66814515074428,40.58449865392762,40.5096017120288,40.43321692285646,40.401437857454674,40.33190792595342,40.288425466832564,40.20782835446916,40.04408394386795,40.01218421632226,39.899917880886385,39.848982708431905,39.726280144908145,39.731547576403955,39.59402233075052,39.51242527145535,39.362791595202914,39.2234826918031,39.09602386760434,38.95584567796494,38.74066735716665,38.67721676914119,38.55732969084342,38.42685294377278,38.238535309370256,38.18400184525687,37.91563390270267,37.604585538386985,37.47212510918848,37.21760193434315,37.044613397993395,36.85341098119644,36.504553074468056,36.27142241732799,36.222903948708606,36.13679294845246,35.81613123426036,35.495028703749995,35.2265992902158,34.80201416597848,34.6665696783482,34.231823429001665,34.03338689168736,33.79795690275999,33.599223943554584,33.20402951573374,33.1349648572261,32.8363396539191,32.59889618985983,32.42944621393404,32.22450677765914,32.14504590222935,32.03183521961076,31.876867695138642,31.860044798452087,31.653092073705764
Next 9%,33.95059228712567,33.7978358831297,33.77268256919713,34.04924256319619,33.97567924140785,34.12661867031252,34.08636604753987,34.06152026004442,34.095538162158576,34.04289264177762,34.03524927433467,33.9584423224967,33.81719076662034,33.75722718919768,33.721450047720595,33.708868604813105,33.638563569079,33.59991994834719,33.538102178217876,33.466221815550426,33.39177809951022,33.33489844273848,33.35208645792361,33.25383913271226,33.14516143211444,33.04079748734047,32.9849837780663,32.95811575834796,32.89950514022877,32.789486392364,32.713290878456405,32.65463969621592,32.5787577214637,32.568910037056966,32.50609284248376,32.41246782198074,32.31524530491217,32.31774304507894,32.1688806103783,32.20228769512242,32.20437807266118,32.157167953922205,32.22398237970163,32.24495932942546,32.114204772397215,32.089695859966916,31.936264505170264,31.79650543201654,31.76701841577687,31.746789763802596,31.57798210946706,31.514147566432428,31.389751853555236,31.22248333597677,31.141667027013252,31.139664832262547,31.121427392551084,31.183192318191256,31.111853169605663,30.856852445161785,30.753186386127783,30.79934457592348,30.826658312933986,30.912518429153437,31.050570041935554,30.95611822782367,31.145525343106062,31.377882074164365,31.397349206558534,31.342700553586667,31.64040593112859,31.734488552468587,31.910058475074276,32.11765783436847,32.238736481579345,32.46638769210091,32.55047478245714,32.795735163665476,33.07320753824254,33.2439081316731,33.66295962249502
Next 0.9%,11.20904702348734,11.332005583933235,11.322016633491893,11.328550960796646,11.356580549421313,11.458317997522682,11.459901211735257,11.45463380898779,11.517550342415262,11.528132272671677,11.564042509365924,11.527409075311724,11.50796377239377,11.521630985297627,11.519790703607391,11.477415004690904,11.48791788418848,11.482993696090137,11.503653392824841,11.501029613169589,11.503166336486137,11.495557356044618,11.42925883298136,11.430996619292156,11.426263984378993,11.417419383817428,11.456642022078434,11.414112085676065,11.415298326851763,11.419533433633244,11.433131238049299,11.364645227495163,11.369504534781449,11.376093828527745,11.307763050698528,11.380003314381737,11.401827528273323,11.362199281236995,11.379311080993503,11.36242452123637,11.286938726086248,11.270716258198055,11.147188205562998,11.074984798179855,11.14097232714829,11.178104392939636,11.284601591040133,11.323804494269673,11.352627995020537,11.335325014274556,11.38622279967988,11.472033676303795,11.601923522136259,11.690701886771437,11.760228647042915,11.751713127559738,11.749555550712,11.782206082275993,11.867966436949251,11.996178540666802,12.074806471596366,12.17717106628916,12.215436800001566,12.2210586858572,12.306502362120364,12.393660426710918,12.467559610052547,12.352647525813643,12.357239221403338,12.45333853952294,12.437165819226802,12.454783422898174,12.556595661636427,12.54621049812723,12.545630102711435,12.483646782138324,12.482366009210455,12.386677191717578,12.274456600793492,12.00557406075433,11.706740383981929
Top 0.1%,4.44689238027598,4.50090175660931,4.508964514663938,4.513035152782874,4.516116058232489,4.514627243455149,4.524234115537085,4.5393062249253,4.553175810924093,4.5354941276286365,4.566157414551464,4.557623029932179,4.537386982237502,4.504134746630806,4.4795577209628785,4.430074108367688,4.395849123543161,4.371393625566933,4.33412261165842,4.3130150764402515,4.2995081646802,4.299938055582031,4.299292870396865,4.301503669299322,4.296467730854536,4.292315411305148,4.2532951139007125,4.262346952063933,4.270724432096962,4.278609920224985,4.283130441923477,4.301447270391757,4.307503267905699,4.323313216738289,4.337220426511834,4.319096755629037,4.312767366317027,4.316878614674757,4.317631749034822,4.27466912753599,4.286219249622847,4.304116586588503,4.325020956713265,4.351853504715675,4.391117396478117,4.424082702355248,4.373849953465858,4.404428109687675,4.421093159383971,4.456499851346207,4.479376607071672,4.50518222006292,4.550141871632752,4.586700326607341,4.601417537312392,4.624293156300229,4.644115547133298,4.684153249882561,4.6851534021857155,4.691771761212415,4.69135171171925,4.6781124407335835,4.710676092676092,4.722756322558908,4.723689611625847,4.756518331032655,4.762581378463726,4.805372748624581,4.82933141844325,4.8133125612401795,4.844553318912592,4.861408927343758,4.860520691057946,4.886153564401397,4.900450780768606,4.884040726476346,4.894433300499113,4.872220102629543,4.845906960792535,5.0061928033581005,5.051403901355023
