,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Within countries,0.35517642754080436,0.3521767079336405,0.37756841974202865,0.3866455600237055,0.4003284460619696,0.40697248590192614,0.41831746667716957,0.4168344693872014,0.41713281865482665,0.4232521704743028,0.4296239440877324,0.43792330088016346,0.4458613943898535,0.45436999144982065,0.46337608252353973,0.47052106340284844,0.47856659796433615,0.48513088472172533,0.49686966610717004,0.5041587557703217,0.502102634199198,0.5089695173084615,0.5118724689972288,0.5147354247308501,0.5171610522823342,0.5180764514888097,0.5138191384133816,0.5194419077627065,0.5249555464292479,0.5254763011676987
Between countries,0.631872391251656,0.5910463035870043,0.605312025066857,0.5957581324650696,0.603285889483012,0.5891123678124935,0.5823426562192483,0.579607477254403,0.5949671210801338,0.58679518954126,0.5962689149279462,0.5872635047328975,0.5793355878892255,0.5695449319798315,0.5585214604885704,0.5476661624787623,0.5324630200845695,0.5093209770074336,0.4820027950299809,0.4380893843319962,0.4301475665371325,0.413686378862009,0.4077949734434792,0.40267206420490054,0.39025220765918195,0.38829383023874525,0.3752057104705823,0.37019829136399174,0.37480453543610126,0.3663422425877309
