ISO3,Name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
BLR,Belarus,0.371450359,0.377663294,0.378089742,0.38448529,0.385256489,0.383998166,0.383090546,0.380926595,0.404317245,0.399925843,0.397882247,0.350204279,0.371096188,0.392672629,0.435273165,0.434907868,0.446617921,0.476039954,0.480346754,0.473827607,0.472542818,0.488654416,0.511087286,0.513170199,0.515894068,0.489199973,0.483025773,0.466394436
BEL,Belgium,0.544191092,0.548777229,0.546059609,0.536687228,0.538068722,0.546174883,0.550275824,0.558292184,0.550835964,0.552146663,0.54616016,0.571237536,0.577457122,0.586767734,0.593845612,0.586897482,0.587903845,0.595010888,0.601529962,0.613973566,0.613655693,0.604566622,0.598465211,0.590958405,0.590674715,0.597543911,0.598901204,0.598332633
BLZ,Belize,0.37391153,0.382184428,0.378382704,0.380941003,0.378943923,0.378254729,0.378729466,0.379698802,0.384454171,0.375304998,0.395327412,0.339128422,0.34026731,0.33817453,0.338043658,0.337151047,0.325980927,0.332373515,0.334971051,0.331755242,0.331404931,0.327808568,0.327419657,0.327200064,0.327902887,0.334313716,0.329923239,0.335117353
BEN,Benin,0.355458682,0.355486284,0.352905354,0.35023738,0.348423256,0.346742341,0.34265038,0.338658615,0.337798076,0.330867486,0.316805819,0.302314091,0.305801764,0.301780589,0.28978543,0.273169773,0.277185421,0.274724671,0.286835809,0.288823651,0.302833404,0.309293106,0.320559752,0.331234104,0.325563841,0.332659927,0.334732897,0.338375813
BTN,Bhutan,0.371508961,0.37153106,0.370254262,0.369048932,0.366363992,0.363930048,0.363369833,0.362855456,0.38742481,0.377026023,0.391698366,0.378804388,0.398351062,0.407966594,0.400498077,0.391505635,0.390657718,0.394397959,0.402345305,0.430985217,0.432537993,0.462989857,0.479227794,0.479250492,0.481280807,0.479929376,0.475488717,0.478080566
BOL,"Bolivia, Plurinational State of",0.313399608,0.313616726,0.318360231,0.320285122,0.315006767,0.308402864,0.309770619,0.303905982,0.302247323,0.308432776,0.278435888,0.269038776,0.273421142,0.274349506,0.275189289,0.280074688,0.284048554,0.276204936,0.284643884,0.280682474,0.276169688,0.278120469,0.28364408,0.283863868,0.27656036,0.280425772,0.282839935,0.279937513
BIH,Bosnia and Herzegovina,0.336248388,0.33632372,0.330692991,0.32510066,0.327249761,0.33133775,0.33986512,0.342066291,0.341874628,0.356354282,0.342435644,0.320309701,0.324563371,0.333899463,0.334108013,0.333755417,0.34277508,0.349093996,0.363680966,0.381411905,0.36739249,0.37127022,0.377106748,0.375062051,0.367260221,0.363598933,0.366360383,0.368365736
BWA,Botswana,0.375876837,0.376157289,0.377876856,0.379729644,0.380999784,0.382976718,0.38103428,0.378183109,0.395411795,0.38364827,0.397048775,0.382854636,0.388029101,0.391436136,0.393086867,0.390626609,0.389198188,0.396617585,0.402175824,0.423205838,0.417404316,0.434473989,0.427005444,0.427908097,0.43282212,0.429481282,0.432852259,0.434064329
BRA,Brazil,0.348736189,0.34803392,0.349149535,0.350107197,0.355469464,0.360644619,0.363962009,0.368698806,0.366212399,0.362095021,0.369934015,0.400723221,0.404796163,0.412707038,0.426819844,0.443653098,0.446037342,0.44440817,0.442678198,0.356697953,0.348724636,0.352081473,0.345921176,0.343836779,0.349509151,0.354151771,0.35252804,0.353960407
BRN,Brunei Darussalam,0.441824541,0.443170117,0.435221346,0.427499401,0.43182405,0.435132132,0.437809746,0.436800837,0.439081469,0.448492128,0.459127692,0.526047182,0.443942598,0.449161302,0.474685364,0.473607338,0.47464938,0.475563421,0.484090765,0.502804421,0.496671127,0.498781782,0.498396214,0.522202192,0.514004126,0.532892594,0.530803069,0.535065087
