ISO3,Name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
ETH,Ethiopia,409.7272871,454.2849923,461.9232039,437.3685939,452.5418163,476.5872085,512.5776341,513.1543118,497.312058,563.5755313,631.7459772,701.6694792,780.6604652,856.873946,912.1172452,1010.166552,1114.045972,1195.794561,1270.347236,1505.005338,1654.847633,1882.687154,2031.9573,2124.254622,2274.214139,2442.252484,2628.343464,2888.736492
FJI,Fiji,4947.817156,5251.791633,5172.652113,5237.754864,5712.817295,5680.221093,5862.240493,6081.886606,6202.568466,6642.026293,6833.355361,7108.2798,7177.271718,7340.973744,7246.283448,7519.469114,7854.566626,8392.597679,9035.340488,10735.72138,11751.37168,11994.9382,12815.93671,13199.78412,13168.37118,11168.6399,10593.91273,13534.19431
FIN,Finland,19573.74793,20080.84016,21790.47737,23576.77959,24767.28067,26788.10901,27803.90849,28605.12232,29053.11016,31202.63267,32051.794,34454.88838,37846.92322,40083.69727,37971.16882,38949.7245,40916.83858,40873.09533,41493.14165,41757.40219,42497.70498,44934.44821,47570.13358,49579.331,52569.80006,53668.81909,57788.90346,62599.00556
FRA,France,20763.09711,21350.06552,22237.73457,23356.75386,24304.40453,26090.1388,27493.70175,28518.82522,28168.76957,29056.00526,30494.21411,32464.84684,34126.12504,35092.69431,34674.99782,35894.99211,37439.23314,37677.72679,39521.69698,40144.02683,40849.99738,42924.61363,44577.06457,46537.47404,51240.0683,49494.29008,53834.7993,57594.03402
GAB,Gabon,13765.41421,14164.04222,14857.964,15161.6276,13653.59928,13353.72321,13586.74261,13403.39072,13603.07023,13680.96327,14077.81872,13689.92805,14451.26219,13795.47804,13448.43056,14086.55341,14863.46234,14700.78027,14580.55684,14940.85143,14394.39481,14092.34151,14911.98235,15574.99987,16126.86386,14639.91947,19552.36253,21118.86705
GMB,Gambia,1498.459207,1514.803669,1569.874926,1595.604591,1672.049402,1752.469266,1842.155175,1759.121812,1863.192689,1989.784814,1945.807853,1935.310568,1986.042399,2085.186069,2169.290506,2254.373139,2049.349001,2046.861338,1986.861997,1912.068799,1965.048772,1983.633806,2005.565442,2235.260259,2371.492041,2473.519768,2710.552463,2969.7572
GEO,Georgia,1918.769886,2253.095233,2615.646211,2795.394477,2976.857973,3161.195825,3440.728179,3718.686933,4239.938414,4634.777576,5271.950953,5980.443905,6951.085843,7278.663122,7119.142791,7711.806839,8563.835549,10059.98206,10797.34233,11770.69894,12269.65289,13065.29416,13718.93787,15021.90576,16770.13338,16791.25987,18915.6534,22442.78672
DEU,Germany,23548.83413,24070.11924,24568.14289,25344.88132,26291.21108,27202.47608,28376.90409,29178.63747,29909.80872,31334.73152,31794.09601,34160.10311,36295.71843,37802.38743,36814.75473,38945.92173,42541.53109,43359.61483,44993.89275,47011.55109,47609.781,50579.68393,53071.45557,55195.84054,58251.77308,57905.17955,61939.65159,66616.02225
GHA,Ghana,1942.37266,2021.99206,2093.427035,2163.55875,2235.521821,2311.832793,2393.91665,2471.645963,2580.501801,2724.591856,2897.701465,3095.449715,3232.192189,3504.585391,3604.467427,3840.435212,4362.592882,4910.784396,5188.160056,5486.848997,5159.926452,4977.581864,5134.361772,5494.700504,5952.403657,5992.31759,6544.2382,7132.783653
GRC,Greece,15422.25825,16144.26705,17152.76267,18033.68463,18464.73208,19518.67431,20960.9888,22615.93561,23897.93127,25461.18594,25577.52411,28548.98683,29326.91966,30856.01184,30358.24444,27908.29592,25671.51609,24911.11963,25986.65032,26625.06181,26760.3633,27511.80102,28604.86094,29617.54834,31611.21144,29088.20806,33018.25442,38922.47423
GRD,Grenada,5052.784201,5333.364093,5659.49525,6356.559466,6851.024616,7307.016624,7286.149515,7632.855014,8480.302798,8590.657946,9969.107048,9800.709804,10612.16882,10846.02708,10121.83905,10121.87431,10330.08298,10288.90483,10868.24374,11830.60443,12736.38967,13414.05247,14359.41815,15168.89177,15542.49156,13510.81442,14325.55485,16348.17022
GTM,Guatemala,4065.771622,4161.465223,4315.009742,4474.453411,4601.996831,4758.834656,4861.289862,5009.918372,5126.609056,5315.447232,5545.315787,5901.431392,6319.35569,6526.240907,6474.860013,6619.863141,6910.876502,7409.407805,7875.68884,8438.674124,9166.040272,9457.843748,9845.384773,10250.27449,11079.62731,11270.78233,12106.42254,13299.60235
GIN,Guinea,1025.155546,1060.016181,1111.075279,1142.689413,1176.200052,1208.982699,1264.929772,1330.130201,1342.883054,1381.532894,1438.804198,1470.175009,1576.38032,1633.348291,1585.806964,1641.485119,1726.182307,1812.022784,1864.735826,1896.280938,1953.096161,2282.17719,2718.896876,2878.428296,3143.646883,3395.094879,3735.089827,4087.091752
GNB,Guinea-Bissau,947.5539359,1054.755328,1121.217586,863.2631776,1003.700872,1017.179722,1066.865231,1098.314473,1091.35186,1107.439017,1188.236333,1226.968965,1259.965104,1308.204132,1314.265598,1368.926203,1470.902069,1400.747268,1414.340705,1454.081684,1727.561769,1821.728851,2078.762956,2054.990109,2089.863616,2083.840421,2278.023395,2486.717546
GUY,Guyana,4795.007712,5258.079841,5667.008074,5623.408261,5861.600145,5904.547576,6168.965367,6331.504749,6413.672817,6690.320613,6771.842021,7351.74251,8113.674855,8441.615559,8834.309495,9353.126083,10092.08249,10659.99316,11238.86276,11191.23459,11465.13618,11584.05925,12327.0682,12538.21374,13388.70608,17036.28992,23176.1332,40337.59901
HTI,Haiti,1972.12605,2052.825575,2105.530683,2136.318475,2185.136508,2213.287693,2215.223247,2233.988703,2317.076186,2308.923633,2413.960842,2490.223854,2634.138229,2711.80526,2843.112786,2684.072674,2846.881182,2819.336533,3030.979635,3064.069363,3014.229685,3240.598619,3325.313579,3182.441427,3220.942957,3085.90305,3114.963542,3239.319005
HND,Honduras,2292.556685,2313.054774,2394.012521,2442.470684,2394.7245,2556.734448,2614.35751,2683.225043,2788.336005,2966.983494,3167.424986,3398.401786,3622.629721,3764.444146,3617.194142,3719.728335,3863.651341,3981.039625,4104.369614,4428.431921,4815.775027,5159.617509,5598.056546,5617.483198,5776.103688,5383.568901,6209.94035,6820.087245
HUN,Hungary,9186.037562,9349.013765,9823.025763,10398.02925,10873.24786,11854.68342,13211.82706,14526.38826,15479.10108,16269.30876,17108.34058,18383.63222,19098.62631,20721.50241,20722.06534,21738.89659,23029.44718,23267.44839,24547.98053,25691.52726,26798.85417,27941.92686,29496.16368,31908.86345,35152.6037,35029.91322,38647.99808,43577.88714
ISL,Iceland,23938.4742,24767.07428,26868.1115,28720.91297,29557.54183,29782.87381,31885.45107,32607.10588,32701.04895,35617.2136,37322.73993,39700.08171,41472.84494,43728.11406,41862.95993,39768.41696,40936.86783,42004.44761,44409.66895,45996.96875,49201.0641,53480.39719,55638.49206,57197.76762,60523.81794,55796.74547,61966.41677,73471.4997
IND,India,1572.158515,1688.530251,1753.235568,1847.383915,2001.887737,2087.482056,2197.353099,2275.592233,2460.134123,2681.216657,2936.898878,3222.014495,3510.963992,3636.969354,3892.567908,4216.183993,4467.466655,4835.477665,5032.593975,5211.570321,5446.188766,5823.481542,6169.499918,6742.707913,7181.522654,6997.358393,8087.993803,9199.567739
IDN,Indonesia,4490.264746,4850.790798,5084.191936,4397.090203,4427.674474,4682.496616,4892.895213,5121.673837,5399.724306,5750.204743,6189.56886,6644.53394,7162.984355,7639.919098,7941.243696,8431.821765,9022.72138,9624.588232,9966.382935,10168.67606,10132.31608,10371.44233,10802.7126,11494.94485,12115.70207,11856.94333,12897.10314,14445.64316
